year,code,name,大数据
2017,sz603818,曲美家居,1
2017,sz603936,博敏电子,1
2017,sz601939,建设银行,1
2017,sz603367,辰欣药业,0
2017,sz603665,康隆达,0
2017,sz600400,红豆股份,0
2017,sz600742,一汽富维,0
2017,sz603178,圣龙股份,0
2017,sz603180,金牌厨柜,1
2017,sz600519,贵州茅台,0
2017,sz601398,工商银行,1
2017,sz601500,通用股份,1
2017,sz601808,中海油服,0
2017,sz600183,生益科技,1
2017,sz600871,石化油服,0
2017,sz600874,创业环保,0
2017,sz600976,健民集团,1
2017,sz601002,晋亿实业,0
2017,sz601168,西部矿业,0
2017,sz603866,桃李面包,0
2017,sz000488,晨鸣纸业,0
2017,sz000039,中集集团,1
2017,sz300373,扬杰科技,0
2017,sz300047,天源迪科,1
2017,sz002439,启明星辰,1
2017,sz600837,海通证券,1
2017,sz600858,银座股份,1
2017,sz600986,科达股份,1
2017,sz002465,海格通信,1
2017,sz300144,宋城演艺,1
2017,sz002339,积成电子,0
2017,sz000600,建投能源,0
2017,sz002090,金智科技,1
2017,sz600292,远达环保,1
2017,sz600373,中文传媒,0
2017,sz600657,信达地产,0
2017,sz000635,英 力 特,1
2017,sz300717,华信新材,0
2017,sz002424,贵州百灵,0
2017,sz300570,太辰光,1
2017,sz300569,天能重工,0
2017,sz300009,安科生物,1
2017,sz002594,比亚迪,0
2017,sz002060,粤 水 电,1
2017,sz600528,中铁工业,1
2017,sz600540,*ST新赛,0
2017,sz600600,青岛啤酒,1
2017,sz000728,国元证券,1
2017,sz002256,兆新股份,0
2017,sz300596,利安隆,0
2017,sz601886,江河集团,0
2017,sz002660,茂硕电源,0
2017,sz000517,荣安地产,0
2017,sz300339,润和软件,1
2017,sz002383,合众思壮,1
2017,sz600094,大名城,1
2017,sz601069,西部黄金,0
2017,sz603299,井神股份,0
2017,sz603615,茶花股份,1
2017,sz300101,振芯科技,1
2017,sz002414,高德红外,0
2017,sz600018,上港集团,1
2017,sz600579,天华院,0
2017,sz600999,招商证券,1
2017,sz002297,博云新材,0
2017,sz002596,海南瑞泽,0
2017,sz002818,富森美,1
2017,sz002845,同兴达,1
2017,sz000721,西安饮食,0
2017,sz000615,京汉股份,0
2017,sz600260,凯乐科技,1
2017,sz601111,中国国航,1
2017,sz000429,粤高速Ａ,0
2017,sz600965,福成股份,0
2017,sz603067,振华股份,0
2017,sz300429,强力新材,0
2017,sz002225,濮耐股份,0
2017,sz002749,国光股份,0
2017,sz600064,南京高科,0
2017,sz603258,电魂网络,0
2017,sz603768,常青股份,0
2017,sz002536,西泵股份,0
2017,sz600386,北巴传媒,1
2017,sz603322,超讯通信,1
2017,sz002807,江阴银行,0
2017,sz002658,雪迪龙,1
2017,sz600676,交运股份,1
2017,sz600756,浪潮软件,1
2017,sz300127,银河磁体,0
2017,sz002493,荣盛石化,0
2017,sz601872,招商轮船,0
2017,sz603025,大豪科技,1
2017,sz603658,安图生物,0
2017,sz600170,上海建工,0
2017,sz600620,天宸股份,0
2017,sz300092,科新机电,0
2017,sz300507,苏奥传感,1
2017,sz300708,聚灿光电,1
2017,sz300421,力星股份,1
2017,sz300105,龙源技术,0
2017,sz601880,大连港,0
2017,sz600608,*ST沪科,1
2017,sz601288,农业银行,1
2017,sz300027,华谊兄弟,0
2017,sz600748,上实发展,1
2017,sz600794,保税科技,0
2017,sz601788,光大证券,1
2017,sz603978,深圳新星,0
2017,sz600419,天润乳业,0
2017,sz600570,恒生电子,1
2017,sz603898,好莱客,1
2017,sz600027,华电国际,0
2017,sz603007,花王股份,0
2017,sz300309,吉艾科技,0
2017,sz300185,通裕重工,0
2017,sz300138,晨光生物,0
2017,sz300296,利亚德,1
2017,sz002461,珠江啤酒,1
2017,sz000777,中核科技,0
2017,sz002616,长青集团,0
2017,sz002228,合兴包装,0
2017,sz601998,中信银行,1
2017,sz002265,西仪股份,0
2017,sz300068,南都电源,1
2017,sz000096,广聚能源,0
2017,sz002417,深南股份,0
2017,sz300655,晶瑞股份,0
2017,sz002875,安奈儿,0
2017,sz002193,如意集团,1
2017,sz600196,复星医药,0
2017,sz600326,西藏天路,0
2017,sz600565,迪马股份,0
2017,sz600673,东阳光科,0
2017,sz603038,华立股份,0
2017,sz000898,鞍钢股份,1
2017,sz000738,航发控制,0
2017,sz000851,高鸿股份,1
2017,sz002294,信立泰,0
2017,sz600267,海正药业,0
2017,sz000002,万 科Ａ,0
2017,sz600270,外运发展,0
2017,sz600287,江苏舜天,0
2017,sz600535,天士力,1
2017,sz600623,华谊集团,0
2017,sz600886,国投电力,1
2017,sz300103,达刚路机,1
2017,sz002503,搜于特,0
2017,sz300532,今天国际,1
2017,sz300520,科大国创,1
2017,sz002586,围海股份,0
2017,sz002023,海特高新,0
2017,sz000552,靖远煤电,1
2017,sz002186,全 聚 德,0
2017,sz600597,光明乳业,1
2017,sz603520,司太立,0
2017,sz603916,苏博特,0
2017,sz001979,招商蛇口,1
2017,sz600158,中体产业,1
2017,sz603899,晨光文具,1
2017,sz002007,华兰生物,0
2017,sz600860,*ST京城,0
2017,sz002595,豪迈科技,0
2017,sz000402,金 融 街,0
2017,sz300322,硕贝德,0
2017,sz002572,索菲亚,1
2017,sz002838,道恩股份,0
2017,sz300586,美联新材,0
2017,sz002139,拓邦股份,1
2017,sz600029,南方航空,1
2017,sz600460,士兰微,1
2017,sz002119,康强电子,1
2017,sz000099,中信海直,0
2017,sz600435,北方导航,0
2017,sz600478,科力远,0
2017,sz603726,朗迪集团,1
2017,sz000731,四川美丰,0
2017,sz000895,双汇发展,0
2017,sz000819,岳阳兴长,0
2017,sz600269,赣粤高速,1
2017,sz600306,商业城,1
2017,sz600798,宁波海运,0
2017,sz300240,飞力达,0
2017,sz600731,湖南海利,0
2017,sz601579,会稽山,1
2017,sz000899,赣能股份,1
2017,sz002185,华天科技,1
2017,sz002534,杭锅股份,0
2017,sz002136,安 纳 达,0
2017,sz600311,荣华实业,0
2017,sz000919,金陵药业,0
2017,sz000631,顺发恒业,0
2017,sz300593,新雷能,0
2017,sz600012,皖通高速,1
2017,sz600028,中国石化,0
2017,sz600192,长城电工,0
2017,sz600206,有研新材,0
2017,sz600377,宁沪高速,1
2017,sz600801,华新水泥,0
2017,sz600877,*ST嘉陵,0
2017,sz600888,新疆众和,0
2017,sz601608,中信重工,0
2017,sz603039,泛微网络,0
2017,sz603179,新泉股份,0
2017,sz603939,益丰药房,1
2017,sz300701,森霸股份,0
2017,sz300237,美晨生态,0
2017,sz002768,国恩股份,0
2017,sz002703,浙江世宝,0
2017,sz000756,新华制药,0
2017,sz600970,中材国际,0
2017,sz603508,思维列控,1
2017,sz600233,圆通速递,1
2017,sz600265,ST景谷,0
2017,sz600319,亚星化学,0
2017,sz600531,豫光金铅,0
2017,sz601088,中国神华,0
2017,sz601969,海南矿业,0
2017,sz603777,来伊份,1
2017,sz601899,紫金矿业,0
2017,sz603019,中科曙光,1
2017,sz002466,天齐锂业,0
2017,sz600588,用友网络,1
2017,sz600836,界龙实业,0
2017,sz000918,嘉凯城,0
2017,sz002865,钧达股份,0
2017,sz002202,金风科技,1
2017,sz000776,广发证券,1
2017,sz600036,招商银行,1
2017,sz600188,兖州煤业,1
2017,sz601633,长城汽车,0
2017,sz603716,塞力斯,0
2017,sz600980,北矿科技,1
2017,sz601231,环旭电子,1
2017,sz603669,灵康药业,0
2017,sz002357,富临运业,0
2017,sz000513,丽珠集团,0
2017,sz600398,海澜之家,0
2017,sz600602,云赛智联,1
2017,sz600826,兰生股份,0
2017,sz600841,上柴股份,0
2017,sz600971,恒源煤电,0
2017,sz002882,金龙羽,0
2017,sz600462,九有股份,0
2017,sz300256,星星科技,1
2017,sz600723,首商股份,0
2017,sz002229,鸿博股份,0
2017,sz002839,张家港行,0
2017,sz000666,经纬纺机,0
2017,sz000971,高升控股,1
2017,sz000973,佛塑科技,0
2017,sz000628,高新发展,0
2017,sz600007,中国国贸,1
2017,sz300270,中威电子,1
2017,sz601607,上海医药,1
2017,sz002028,思源电气,0
2017,sz002372,伟星新材,1
2017,sz600548,深高速,1
2017,sz600859,王府井,1
2017,sz002772,众兴菌业,0
2017,sz300007,汉威科技,1
2017,sz000400,许继电气,0
2017,sz600099,林海股份,0
2017,sz600714,金瑞矿业,0
2017,sz600717,天津港,1
2017,sz000550,江铃汽车,1
2017,sz600975,新五丰,0
2017,sz601099,太平洋,0
2017,sz601158,重庆水务,1
2017,sz002862,实丰文化,0
2017,sz600268,国电南自,1
2017,sz600819,耀皮玻璃,0
2017,sz200152,山 航Ｂ,0
2017,sz600009,上海机场,0
2017,sz600266,北京城建,0
2017,sz600449,宁夏建材,0
2017,sz600560,金自天正,0
2017,sz000543,皖能电力,0
2017,sz000905,厦门港务,1
2017,sz000972,*ST中基,0
2017,sz603157,拉夏贝尔,1
2017,sz300001,特锐德,1
2017,sz000828,东莞控股,0
2017,sz600052,浙江广厦,0
2017,sz600221,海航控股,1
2017,sz000062,深圳华强,1
